,sample_id,farm,visit_number,date_collected,ctx_m,animals_sampled,weaned_heifer,adult,dry,footpath,amp_c,ct_pos,cipR,tetR,cephR,strepR,amoxR,plain_undiluted,anything_waste,heifers_waste,whichclinresp,firstmastitis,poultry,equine,total_cattle,yield,herd_size,bought_pre,scc,pneum_vacc,diarrvacc,anticocc,halocur,nsaiddiarr,trough_clean,time_dam,um_spray,give_col,wean,pattern,percentdryoff,calving_group,calhousing_type,calhousing_older,hectares,othergraze,bvdvacc,ibrvacc,leptovacc,salmvacc,lungvacc,clostvacc,organic,daystreatmast,timesfirstmast,injectmast,nsaidmast,treatfoot,abcalve,nsaidcalve,calveclean,milkgraze,lime,predip,acf,cleancluster,drytrough,premises,shows,market,hostfarmwalk,starling,deer,badger,rook,pigeon,fox,pheasant,rat,shoot,hunt,outsource,feedlorry,muckspreader,aiexternal,machinery,bedmilk_1,bedmilk_2,bedmilk_3,bedmilk_4,bedmilk_6,bedmilk_8,foragetype_1,foragetype_2,foragetype_3,foragetype_4,foragetype_5,foragetype_6,foragetype_7,foragetype_8,foragebought,manure_1,manure_2,manure_3,manure_4,manure_5,manure_6,manure_7,manure_8,manure_9,s_housed_outdoor,cefq_dct,ceph_dct,fram_dct,clox_dct,s_calving_now,water,total_mg_pcu,ceph_3_4,ceph_1,co_amox,tet,amox,fq,novobiocin,pen,cefalexin,strep,preweaned_heifer
4300,YYZ8,YYZ,2,31/05/2017,0,pw,0,0,0,0,1,1,0,1,1,0,1,1320,1,1,Tetracycline,td/multiject,1,1,2,1,1,0,200,0,N,0,0,0,2,1,0,0,3,2,100,1,2,0,140,N,Y,Y,Y,N,N,N,0,3,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,0,1,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,1,yes,no,no,no,no,no,no,no,no,housed,0,0,0,1,1,0,2.325368683,0,0,0,0.331400166,0,0,0.15907208,0.29918807,0,0,1
4301,YYZ9,YYZ,2,31/05/2017,0,a,0,1,0,0,0,0,0,1,0,0,1,1430,1,1,Tetracycline,td/multiject,1,1,2,1,1,0,200,0,N,0,0,0,2,1,0,0,3,2,100,1,2,0,140,N,Y,Y,Y,N,N,N,0,3,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,0,1,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,1,yes,no,no,no,no,no,no,no,no,housed,0,0,0,1,1,0,2.325368683,0,0,0,0.331400166,0,0,0.15907208,0.29918807,0,0,0
4302,YYZ10,YYZ,2,31/05/2017,0,h,0,0,0,1,1,1,0,1,1,0,1,910,1,1,Tetracycline,td/multiject,1,1,2,1,1,0,200,0,N,0,0,0,2,1,0,0,3,2,100,1,2,0,140,N,Y,Y,Y,N,N,N,0,3,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,0,1,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,1,yes,no,no,no,no,no,no,no,no,outdoor,0,0,0,1,1,0,2.325368683,0,0,0,0.331400166,0,0,0.15907208,0.29918807,0,0,0
4303,YYZ11,YYZ,3,03/07/2017,0,h,1,0,0,0,0,0,0,1,1,1,1,6970,1,1,Tetracycline,td/multiject,1,1,2,1,1,0,200,0,N,0,0,0,2,1,0,0,3,2,100,1,2,0,140,N,Y,Y,Y,N,N,N,0,3,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,0,1,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,1,yes,no,no,no,no,no,no,no,no,housed,0,0,0,1,1,0,2.325368683,0,0,0,0.331400166,0,0,0.15907208,0.29918807,0,0,0
4304,YYZ12,YYZ,3,03/07/2017,0,pw,0,0,0,0,0,0,0,1,0,1,0,170,1,1,Tetracycline,td/multiject,1,1,2,1,1,0,200,0,N,0,0,0,2,1,0,0,3,2,100,1,2,0,140,N,Y,Y,Y,N,N,N,0,3,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,0,1,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,1,yes,no,no,no,no,no,no,no,no,housed,0,0,0,1,1,0,2.325368683,0,0,0,0.331400166,0,0,0.15907208,0.29918807,0,0,1
4305,YYZ13,YYZ,3,03/07/2017,0,pw,0,0,0,0,0,0,0,1,1,1,1,2430,1,1,Tetracycline,td/multiject,1,1,2,1,1,0,200,0,N,0,0,0,2,1,0,0,3,2,100,1,2,0,140,N,Y,Y,Y,N,N,N,0,3,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,0,1,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,1,yes,no,no,no,no,no,no,no,no,housed,0,0,0,1,1,0,2.325368683,0,0,0,0.331400166,0,0,0.15907208,0.29918807,0,0,1
4306,YYZ14,YYZ,3,03/07/2017,0,a,0,1,0,1,0,0,0,1,1,0,1,2510,1,1,Tetracycline,td/multiject,1,1,2,1,1,0,200,0,N,0,0,0,2,1,0,0,3,2,100,1,2,0,140,N,Y,Y,Y,N,N,N,0,3,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,0,1,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,1,yes,no,no,no,no,no,no,no,no,outdoor,0,0,0,1,1,0,2.325368683,0,0,0,0.331400166,0,0,0.15907208,0.29918807,0,0,0
4307,YYZ15,YYZ,3,03/07/2017,0,a,0,1,0,1,0,0,0,1,1,0,0,800,1,1,Tetracycline,td/multiject,1,1,2,1,1,0,200,0,N,0,0,0,2,1,0,0,3,2,100,1,2,0,140,N,Y,Y,Y,N,N,N,0,3,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,0,1,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,1,yes,no,no,no,no,no,no,no,no,outdoor,0,0,0,1,1,0,2.325368683,0,0,0,0.331400166,0,0,0.15907208,0.29918807,0,0,0
4308,YYZ16,YYZ,4,09/08/2017,1,h,1,0,0,0,0,1,0,1,1,0,1,3720,1,1,Tetracycline,td/multiject,1,1,2,1,1,0,200,0,N,0,0,0,2,1,0,0,3,2,100,1,2,0,140,N,Y,Y,Y,N,N,N,0,3,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,0,1,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,1,yes,no,no,no,no,no,no,no,no,housed,0,0,0,1,1,0,2.325368683,0,0,0,0.331400166,0,0,0.15907208,0.29918807,0,0,0
4309,YYZ17,YYZ,4,09/08/2017,0,h,1,0,0,0,0,0,0,1,0,0,1,1090,1,1,Tetracycline,td/multiject,1,1,2,1,1,0,200,0,N,0,0,0,2,1,0,0,3,2,100,1,2,0,140,N,Y,Y,Y,N,N,N,0,3,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,0,1,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,1,yes,no,no,no,no,no,no,no,no,housed,0,0,0,1,1,0,2.325368683,0,0,0,0.331400166,0,0,0.15907208,0.29918807,0,0,0
